# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	56430
#@/user_id	mac
a 	啊	c=52 d=2.7359 t=56430
hao miao 	毫秒	c=2 d=0.851921 t=56430
hao nan 	好難	c=4 d=0.889429 t=56430
hao o 	好哦	c=9 d=3.34316 t=56430
hao qi 	好奇	c=1 d=4.91895e-07 t=56430
hao qi guai 	好奇怪	c=4 d=0.852919 t=56430
hao qiang 	好強	c=1 d=0.181772 t=56430
hao re 	好熱	c=1 d=0.0193512 t=56430
hao sha 	好傻	c=1 d=0.0323869 t=56430
hao sha 	好啥	c=1 d=0.154896 t=56430
hao shi 	好事	c=1 d=7.69454e-06 t=56430
hao shi 	耗時	c=2 d=0.216536 t=56430
hao tao yan 	號討厭	c=1 d=1.02849e-07 t=56430
hao tou teng 	好頭疼	c=1 d=0.00136037 t=56430
hao wan 	好晚	c=1 d=0.017163 t=56430
hao wan 	好玩	c=2 d=0.000784864 t=56430
hao wan de 	好玩的	c=2 d=0.000415205 t=56430
hao wei qu 	號委屈	c=1 d=0.00184551 t=56430
hao xian 	號線	c=2 d=0.831644 t=56430
hao xiang 	好像	c=75 d=4.24301 t=56430
hao xiang 	好想	c=0 d=0.00295994 t=56430
hao xiang shi 	好像是	c=4 d=1.55118 t=56430
hao xiang wo 	好想我	c=1 d=0.0297478 t=56430
hao xiao de 	好笑的	c=1 d=0.0160027 t=56430
hao ya 	好呀	c=1 d=0.00394621 t=56430
hao yan shu 	好眼熟	c=1 d=0.99005 t=56430
hao yang 	好癢	c=1 d=0.00673795 t=56430
hao yong 	好用	c=1 d=0.960789 t=56430
hao yuan 	好遠	c=1 d=7.10295e-06 t=56430
hao zao 	好早	c=1 d=0.65377 t=56430
hao zhan 	好佔	c=1 d=2.20985e-05 t=56430
hao zuo 	好做	c=1 d=0.778801 t=56430
he 	何	c=1 d=0.0773047 t=56430
he 	合	c=3 d=0.869376 t=56430
he 	和	c=238 d=12.1623 t=56430
he 	喝	c=1 d=0.035437 t=56430
he 	核	c=1 d=0.159614 t=56430
he 	鶴	c=5 d=0.306683 t=56430
he ban 	合辦	c=1 d=0.0884781 t=56430
he bei 	喝杯	c=1 d=0.0294518 t=56430
he bing 	合併	c=37 d=5.04823 t=56430
he bing dao 	合併到	c=1 d=1.34775e-11 t=56430
he bu he li 	和不合理	c=1 d=0.168638 t=56430
he cheng 	合成	c=2 d=1.01406 t=56430
he eh 	和誒	c=3 d=2.3015 t=56430
he fa 	合法	c=1 d=0.904837 t=56430
he feng 	和風	c=5 d=0.598265 t=56430
he feng tian qi 	和風天氣	c=1 d=0.00106477 t=56430
he gai 	合蓋	c=1 d=1.77405e-09 t=56430
he he 	呵呵	c=31 d=16.2096 t=56430
he he he 	呵呵呵	c=1 d=1 t=56430
he ji 	合集	c=2 d=1.37115 t=56430
he li 	合理	c=3 d=0.00305009 t=56430
he li ma 	合理嗎	c=1 d=0.0306538 t=56430
he ma 	盒馬	c=2 d=0.487621 t=56430
he ni 	和你	c=1 d=1.67449e-06 t=56430
he shi 	合適	c=9 d=0.302704 t=56430
he shi de 	合適的	c=2 d=3.41588e-11 t=56430
he tong 	合同	c=1 d=0.00423234 t=56430
he wo de 	和我的	c=1 d=0.0977834 t=56430
he yan 	覈驗	c=1 d=0.856415 t=56430
he yi 	合一	c=2 d=3.71223e-11 t=56430
he zai 	何在	c=1 d=0.865022 t=56430
he zai yi qi 	合在一起	c=1 d=5.40917e-07 t=56430
he zi 	盒子	c=3 d=0.965605 t=56430
he zu 	合租	c=1 d=0.000146278 t=56430
he zuo 	合作	c=2 d=0.200528 t=56430
hei 	黑	c=5 d=0.0303537 t=56430
hei dong 	黑洞	c=1 d=0.00530026 t=56430
hei hei 	嘿嘿	c=6 d=1.35164 t=56430
hei hei hei 	嘿嘿嘿	c=1 d=8.80818e-08 t=56430
hei le 	黑了	c=1 d=8.65464e-07 t=56430
hei ming dan 	黑名單	c=2 d=0.115916 t=56430
hei ping 	黑屏	c=1 d=0.0739031 t=56430
hei se 	黑色	c=3 d=1.85119 t=56430
hei se de 	黑色的	c=1 d=0.00329615 t=56430
hei wu 	黑五	c=3 d=2.88677e-21 t=56430
hei wu 	黑霧	c=1 d=8.95195e-22 t=56430
hen 	很	c=4 d=0.425032 t=56430
hen ai 	很愛	c=1 d=0.0194482 t=56430
hen bu cuo 	很不錯	c=2 d=0.00269866 t=56430
hen chang 	很長	c=1 d=0.0459593 t=56430
hen da 	很大	c=1 d=0.00134683 t=56430
hen da ke neng 	很大可能	c=1 d=8.39743e-05 t=56430
hen dui 	很對	c=1 d=5.34152e-06 t=56430
hen duo 	很多	c=12 d=0.482916 t=56430
hen duo ceng 	很多層	c=1 d=0.0428521 t=56430
hen duo ren 	很多人	c=2 d=0.392645 t=56430
hen gan ga 	很尷尬	c=1 d=0.000415927 t=56430
hen gao 	很高	c=1 d=0.0136366 t=56430
hen guai 	很乖	c=1 d=0.985112 t=56430
hen hao 	很好	c=6 d=1.46051 t=56430
hen hao kan 	很好看	c=1 d=0.00013845 t=56430
hen hao ma 	很好嗎	c=1 d=0.000125903 t=56430
hen hao wan 	很好玩	c=1 d=0.00759701 t=56430
hen jiu 	很久	c=1 d=0.878095 t=56430
hen ka 	很卡	c=1 d=0.0229371 t=56430
hen kai xin 	很開心	c=1 d=0.315058 t=56430
hen ke neng 	很可能	c=1 d=3.02077e-06 t=56430
hen ma fan 	很麻煩	c=1 d=1.47774e-06 t=56430
hen ming xian 	很明顯	c=3 d=0.685581 t=56430
hen nan 	很難	c=2 d=6.41042e-05 t=56430
hen nan shou 	很難受	c=1 d=2.34084e-06 t=56430
hen shi he 	很適合	c=1 d=0.00299743 t=56430
hen shuang 	很爽	c=2 d=0.22091 t=56430
hen xi huan 	很喜歡	c=1 d=0.082085 t=56430
hen xiang 	很像	c=2 d=0.0471227 t=56430
hen you 	很有	c=1 d=0.0483156 t=56430
hen zhan 	很佔	c=1 d=0.000257369 t=56430
hen zheng chang 	很正常	c=2 d=0.951886 t=56430
hen zhong yao 	很重要	c=0 d=0.000305798 t=56430
hen zhong yao ma 	很重要嗎	c=1 d=0.00307331 t=56430
heng 	哼	c=4 d=0.839457 t=56430
heng 	橫	c=4 d=0.904865 t=56430
heng chuan 	橫穿	c=1 d=0.000130387 t=56430
heng gang 	橫槓	c=1 d=3.32238e-08 t=56430
heng heng 	哼哼	c=3 d=1.97327 t=56430
heng heng heng heng heng heng 	哼哼哼哼哼哼	c=1 d=0.00341356 t=56430
heng xian 	橫線	c=1 d=5.20334e-11 t=56430
heng zuo biao 	橫座標	c=8 d=0.0393602 t=56430
hong 	宏	c=15 d=0.424357 t=56430
hong bao 	紅包	c=1 d=0.878095 t=56430
hong mi 	紅迷	c=1 d=0.955997 t=56430
hong se 	紅色	c=4 d=3.32738 t=56430
hong shan qu 	洪山區	c=3 d=0.389103 t=56430
hong shao 	紅燒	c=1 d=0.995012 t=56430
hong wai 	紅外	c=5 d=0.755784 t=56430
hou 	後	c=99 d=8.40986 t=56430
hou 	猴	c=0 d=1.67421e-05 t=56430
hou de 	厚的	c=3 d=1.69964 t=56430
hou duan 	後端	c=24 d=0.397648 t=56430
hou gai 	後蓋	c=1 d=1.0618e-29 t=56430
hou lai 	後來	c=5 d=0.970504 t=56430
hou mian 	後面	c=15 d=2.38667 t=56430
hou mian de 	後面的	c=1 d=1.77834e-08 t=56430
hou san wei 	後三位	c=1 d=0.00814786 t=56430
hou tai 	後臺	c=11 d=0.593735 t=56430
hou tian 	後天	c=1 d=9.14709e-11 t=56430
hou xu 	後續	c=5 d=1.7972 t=56430
hou xu de 	後續的	c=1 d=0.000921047 t=56430
hou yi 	後一	c=0 d=0.0131336 t=56430
hou yi ci 	後一次	c=1 d=0.131994 t=56430
hou zhui 	後綴	c=7 d=0.110935 t=56430
hou zi 	猴子	c=1 d=1.85155e-12 t=56430
hu 	戶	c=1 d=0.000488095 t=56430
hu 	狐	c=1 d=5.63088e-09 t=56430
hu 	胡	c=2 d=0.377192 t=56430
hu 	虎	c=6 d=4.54408 t=56430
hu 	護	c=2 d=2.86086e-05 t=56430
hu bei 	湖北	c=2 d=0.634448 t=56430
hu bei sheng 	湖北省	c=2 d=0.400517 t=56430
hu chi 	互斥	c=2 d=0.0651969 t=56430
hu guo 	瓠果	c=2 d=0.634448 t=56430
hu hu da shui 	呼呼大睡	c=1 d=4.91812e-05 t=56430
hu lin 	虎林	c=1 d=1.43753e-05 t=56430
hu lin 	護林	c=3 d=0.00176715 t=56430
hu lin yuan 	護林源	c=2 d=0.00204621 t=56430
hu lve 	忽略	c=41 d=4.26093 t=56430
hu ma 	虎碼	c=1 d=1 t=56073
hu ran 	忽然	c=2 d=0.0175097 t=56430
hu shi 	護士	c=0 d=2.40133e-13 t=56430
hu tong 	互通	c=1 d=2.38894e-10 t=56430
hu xiang 	互相	c=4 d=0.0646845 t=56430
hu xiang tong bu 	互相同步	c=1 d=0.0520787 t=56430
hu zhao 	護照	c=1 d=0.00298248 t=56430
hu zhuan 	互轉	c=1 d=3.9272e-05 t=56430
hua 	化	c=16 d=0.944332 t=56430
hua 	畫	c=1 d=8.46137e-06 t=56430
hua 	花	c=1 d=9.09683e-05 t=56430
hua 	話	c=9 d=0.15732 t=56430
hua chu 	畫出	c=1 d=2.58079e-07 t=56430
hua dong 	滑動	c=1 d=1.23133e-07 t=56430
hua dong 	華東	c=1 d=1.22519e-07 t=56430
hua fei 	話費	c=0 d=0.0247833 t=56430
hua guang 	花光	c=1 d=2.11844e-08 t=56430
hua hen 	劃痕	c=1 d=2.09821e-05 t=56430
hua jia 	花甲	c=1 d=0.869358 t=56430
hua ke 	華科	c=1 d=1 t=55967
hua le 	化了	c=0 d=0.00977834 t=56430
hua qian 	花錢	c=2 d=0.156455 t=56430
hua se 	花色	c=2 d=0.101084 t=56430
hua suan 	划算	c=1 d=0.0753961 t=56430
hua ti zi 	花體字	c=1 d=9.8508e-30 t=56430
hua wei 	華爲	c=4 d=0.637636 t=56430
hua wei yun 	華爲雲	c=2 d=0.316694 t=56430
hua xian 	劃線	c=0 d=0.0170333 t=56430
hua yi 	畫一	c=0 d=0.0210136 t=56430
hua yi ge 	畫一個	c=2 d=0.000206864 t=56430
hua yi zhi 	畫一只	c=2 d=0.424501 t=56430
hua yuan 	花園	c=1 d=1.07135 t=56430
hua yuan ming chao 	花園明朝	c=1 d=0.814647 t=56430
hua zhong hua 	畫中畫	c=8 d=1.03758 t=56430
huai 	壞	c=4 d=0.625547 t=56430
huai a 	壞啊	c=1 d=0.0347353 t=56430
huai diao 	壞掉	c=1 d=1.34381e-06 t=56430
huai le 	壞了	c=1 d=0.458406 t=56430
huai mao mi 	壞貓咪	c=1 d=0.97531 t=56430
huai ren 	壞人	c=4 d=0.0674309 t=56430
huai tou 	壞頭	c=1 d=0.138761 t=56430
huan 	換	c=9 d=1.64883 t=56430
huan 	環	c=1 d=2.07685e-10 t=56430
huan 	緩	c=1 d=0.83527 t=56430
huan cheng 	換乘	c=2 d=0.418952 t=56430
huan cheng 	換成	c=3 d=0.200021 t=56430
huan chong 	緩衝	c=2 d=0.42386 t=56430
huan chong qu 	緩衝區	c=4 d=0.0023872 t=56430
huan cun 	緩存	c=36 d=1.20892 t=56430
huan ge 	換個	c=2 d=0.909373 t=56430
huan guo 	換過	c=2 d=0.023418 t=56430
huan hang 	換行	c=18 d=3.87025 t=56430
huan hang fu 	換行父	c=1 d=0.0658748 t=56430
huan hao le 	換好了	c=1 d=0.0273237 t=56430
huan jin qu 	換進去	c=1 d=0.170333 t=56430
huan jing 	環境	c=69 d=4.97414 t=56430
huan jing bian liang 	環境變量	c=4 d=0.699787 t=56430
huan le 	換了	c=2 d=0.110252 t=56430
huan le 	歡樂	c=1 d=2.79526e-05 t=56430
huan man 	緩慢	c=1 d=0.860708 t=56430
huan qi 	喚起	c=1 d=0.831104 t=56430
huan qu 	換區	c=1 d=1.70861e-08 t=56430
huan sai dao 	換賽道	c=1 d=0.0020396 t=56430
huan xin 	換新	c=0 d=0.0035437 t=56430
huan xin 	環信	c=1 d=0.647265 t=56430
huan xin de 	換新的	c=1 d=0.0356146 t=56430
huan xing 	喚醒	c=8 d=3.65506 t=56430
huang 	黃	c=2 d=0.671138 t=56430
huang jin 	黃金	c=0 d=0.0522046 t=56430
huang jin gao 	黃金糕	c=2 d=1.0546 t=56430
hui 	回	c=5 d=0.999826 t=56430
hui 	會	c=172 d=7.22594 t=56430
hui ba 	會把	c=4 d=0.0808629 t=56430
hui bao cuo 	會報錯	c=1 d=9.01705e-19 t=56430
hui bei 	會被	c=8 d=0.921497 t=56430
hui bian cheng 	會變成	c=1 d=0.00196945 t=56430
hui bu hui 	會不會	c=11 d=0.308819 t=56430
hui che 	回車	c=2 d=1.45318 t=56430
hui chu 	匯出	c=1 d=0.00960953 t=56430
hui chu xian 	會出現	c=12 d=1.20943 t=56430
hui da 	回答	c=16 d=4.23095 t=56430
hui dao 	回到	c=2 d=0.783479 t=56430
hui dao zhi 	會導致	c=2 d=0.162026 t=56430
hui de 	會的	c=1 d=0.000569928 t=56430
hui diao 	回調	c=1 d=0.00256705 t=56430
hui dong 	會動	c=1 d=7.43115e-08 t=56430
hui fa sheng 	會發生	c=15 d=1.95326 t=56430
hui fa sheng shen me 	會發生什麼	c=2 d=0.618783 t=56430
hui fang 	回放	c=3 d=0.204948 t=56430
hui fu 	回覆	c=19 d=3.25357 t=56430
hui fu 	恢復	c=17 d=2.74779 t=56430
hui fu hou 	恢復後	c=1 d=0.0587185 t=56430
hui fu li de 	回覆裏的	c=1 d=0.774916 t=56430
hui fu ma 	恢復碼	c=7 d=2.45076 t=56430
hui gun 	回滾	c=9 d=0.731993 t=56430
hui he 	回合	c=1 d=0.802519 t=56430
hui hua 	回話	c=1 d=0.00260584 t=56430
hui hua 	會話	c=13 d=1.42936 t=56430
hui hua 	繪畫	c=1 d=1.29826e-12 t=56430
hui hua kuang 	會話框	c=1 d=2.78179e-07 t=56430
hui hua lei xing 	會話類型	c=1 d=0.0742736 t=56430
hui hui 	回回	c=1 d=0.798516 t=56430
hui jia 	回家	c=8 d=0.941774 t=56430
hui jia nong 	回家弄	c=1 d=0.000724521 t=56430
hui jin xing 	會進行	c=1 d=6.625e-10 t=56430
hui ka 	會卡	c=1 d=0.677057 t=56430
hui lai 	回來	c=3 d=1.33857 t=56430
hui lai ba 	回來吧	c=1 d=0.0237541 t=56430
hui luan ma 	會亂碼	c=1 d=0.158026 t=56430
hui ni 	回你	c=1 d=1.02017e-29 t=56430
hui qu 	回去	c=6 d=0.429557 t=56430
hui se 	灰色	c=1 d=0.755784 t=56430
hui shi 	回事	c=2 d=0.865022 t=56430
hui shi 	會是	c=1 d=2.09772e-10 t=56430
hui shi yong 	會使用	c=1 d=0.0306538 t=56430
hui shou 	回收	c=4 d=1.11782 t=56430
hui shou zhan 	回收站	c=1 d=1.02528e-29 t=56430
hui shuo 	回溯	c=2 d=0.874035 t=56430
hui tian 	回填	c=3 d=0.000604264 t=56430
hui wan 	會玩	c=2 d=0.878095 t=56430
hui yi 	會議	c=8 d=7.7816e-16 t=56430
hui ying 	回應	c=0 d=0.00200405 t=56430
hui ying wo 	回應我	c=1 d=0.0201409 t=56430
hui ying xiang 	會影響	c=1 d=0.0166557 t=56430
hui yong 	會用	c=1 d=0.000587285 t=56430
hui you 	會有	c=7 d=1.77328 t=56430
hui you shen me 	會有什麼	c=1 d=1.83312e-12 t=56430
hui you wen ti 	會有問題	c=1 d=0.0115624 t=56430
hui zai 	會在	c=4 d=0.895834 t=56430
hui zen me 	會怎麼	c=2 d=0.574089 t=56430
hui zen yang 	會怎樣	c=1 d=0.00362464 t=56430
hui zhe yang 	會這樣	c=1 d=0.491644 t=56430
hui zi dong 	會自動	c=1 d=0.000672169 t=56430
hui zuo 	會做	c=1 d=0.113608 t=56430
hun cun 	混村	c=3 d=0.169483 t=56430
hun hun 	混混	c=1 d=0.0221482 t=56430
hun hun chen chen 	昏昏沉沉	c=1 d=0.0222592 t=56430
hun jian 	婚檢	c=2 d=0.00985919 t=56430
hun luan 	混亂	c=5 d=0.774917 t=56430
hun yong 	混用	c=0 d=9.53854e-05 t=56430
huo 	或	c=67 d=2.59043 t=56430
huo 	貨	c=3 d=0.0237546 t=56430
huo beng luan tiao 	活蹦亂跳	c=0 d=1.44823e-05 t=56430
huo beng luan tiao de 	活蹦亂跳的	c=1 d=0.000145549 t=56430
huo che 	火車	c=1 d=1.00933e-21 t=56430
huo da 	火大	c=1 d=0.826959 t=56430
huo de 	獲得	c=2 d=0.0434998 t=56430
huo dong 	活動	c=8 d=0.530231 t=56430
huo hu 	火狐	c=1 d=0.172907 t=56430
huo hu shi 	或護士	c=1 d=2.41336e-12 t=56430
huo jian 	火箭	c=2 d=1.10296 t=56430
huo le 	活了	c=1 d=1.41271e-06 t=56430
huo lun 	貨輪	c=1 d=0.0403566 t=56430
huo luo 	活絡	c=1 d=0.752014 t=56430
huo lve 	或略	c=1 d=0.00167826 t=56430
huo po 	活潑	c=3 d=1.67461 t=56430
huo qu 	獲取	c=239 d=4.86235 t=56430
huo qu dao 	獲取到	c=1 d=7.75708e-13 t=56430
huo qu de 	獲取的	c=1 d=5.98009e-11 t=56430
huo shi 	或是	c=3 d=7.27643e-12 t=56430
huo wu 	貨物	c=1 d=5.75754e-06 t=56430
huo yue 	活躍	c=5 d=0.209088 t=56430
huo zhe 	或者	c=32 d=2.65764 t=56430
huo zhe 	活着	c=4 d=0.144192 t=56430
huo zhe shuo 	或者說	c=2 d=0.974392 t=56430
ji 	即	c=15 d=2.91619 t=56430
ji 	及	c=17 d=0.296279 t=56430
ji 	幾	c=4 d=0.860501 t=56430
ji 	擊	c=1 d=7.95075e-09 t=56430
ji 	擠	c=2 d=0.162143 t=56430
ji 	極	c=4 d=0.985112 t=56430
ji 	機	c=12 d=0.474734 t=56430
ji 	級	c=4 d=0.292494 t=56430
ji 	記	c=1 d=0.00637737 t=56430
ji 	雞	c=3 d=0.712555 t=56430
ji ben 	基本	c=1 d=0.00329615 t=56430
ji ben xin xi 	基本信息	c=1 d=0.0065062 t=56430
ji bie 	級別	c=34 d=2.45997 t=56430
ji chang 	機場	c=9 d=0.601321 t=56430
ji cheng 	繼承	c=28 d=2.67306 t=56430
ji cheng 	集成	c=7 d=0.848376 t=56430
ji cheng hua 	集成化	c=1 d=0.516851 t=56430
ji chi 	雞翅	c=2 d=3.69651e-16 t=56430
ji chou 	記仇	c=1 d=0.421052 t=56430
ji chu 	基礎	c=42 d=1.08577 t=56430
ji chu ban 	基礎版	c=1 d=1.71303e-09 t=56430
ji chu ban ben 	基礎版本	c=1 d=1.54628e-10 t=56430
ji chu bao 	基礎包	c=3 d=0.265803 t=56430
ji chu fu wu 	基礎服務	c=1 d=0.00096344 t=56430
ji chu lei 	基礎類	c=1 d=0.0193512 t=56430
ji chu lei xing 	基礎類型	c=1 d=1 t=56203
ji chu shang 	基礎上	c=3 d=0.95123 t=56430
ji ci 	幾次	c=1 d=0.13466 t=56430
ji ci qi 	及瓷器	c=1 d=0.701173 t=56430
ji cun 	寄存	c=1 d=0.00628242 t=56430
ji cun qi 	寄存器	c=163 d=9.09703 t=56430
ji cuo le 	記錯了	c=1 d=0.873716 t=56430
ji da 	擊打	c=2 d=0.0229371 t=56430
ji dai 	基帶	c=3 d=0.00094012 t=56430
ji dan 	雞蛋	c=1 d=0.0513033 t=56430
ji de 	記得	c=2 d=0.918512 t=56430
ji dian 	幾點	c=5 d=1.04769 t=56430
ji dong 	激動	c=1 d=7.73442e-08 t=56430
ji ge 	幾個	c=12 d=0.660159 t=56430
ji gou 	機構	c=1 d=0.19398 t=56430
ji he 	集合	c=143 d=9.26697 t=56430
ji hu 	幾乎	c=1 d=6.41261e-09 t=56430
ji hu 	極狐	c=2 d=1.94229e-08 t=56430
ji hua 	計劃	c=28 d=3.19106 t=56430
ji hua biao 	計劃表	c=1 d=0.106459 t=56430
ji hui 	機會	c=1 d=0.00276698 t=56430
ji huo 	激活	c=1 d=0.0306537 t=56430
ji jia 	幾家	c=0 d=0.0290835 t=56430
ji jian 	極簡	c=1 d=0.0212797 t=56430
ji ke 	即可	c=4 d=0.755791 t=56430
ji lei 	基類	c=1 d=4.34392e-15 t=56430
ji lei 	積累	c=1 d=0.0248475 t=56430
ji lei 	雞肋	c=3 d=0.180877 t=56430
ji lian 	級聯	c=20 d=0.283909 t=56430
ji lu 	記錄	c=88 d=6.64955 t=56430
ji lu le 	記錄了	c=1 d=0.00244185 t=56430
ji luo 	擊落	c=1 d=0.000129737 t=56430
ji mo xing 	及模型	c=2 d=0.0682212 t=56430
ji mu 	積木	c=1 d=0.677057 t=56430
ji nian 	幾年	c=3 d=0.0911727 t=56430
ji qi 	及其	c=6 d=0.923135 t=56430
ji qi 	機器	c=4 d=0.909419 t=56430
ji qi ren 	機器人	c=3 d=0.680451 t=56430
ji qiao 	技巧	c=56 d=6.4101 t=56430
ji qing 	激情	c=1 d=0.965605 t=56430
ji qu 	汲取	c=1 d=0.33454 t=56430
ji shang 	機上	c=0 d=1.53063e-09 t=56430
ji sheng chong 	寄生蟲	c=1 d=0.000717312 t=56430
ji shi qi 	計時器	c=1 d=1.21929e-09 t=56430
ji shu 	技術	c=2 d=0.909582 t=56430
ji shu fa 	計數法	c=5 d=0.0225025 t=56430
ji su 	激素	c=1 d=8.33823e-10 t=56430
ji suan 	計算	c=24 d=1.57837 t=56430
ji suan chu 	計算出	c=1 d=0.00427488 t=56430
ji suan ji 	計算機	c=1 d=0.00364281 t=56430
ji suan zhi 	計算值	c=3 d=1.25662 t=56430
ji tai 	幾臺	c=1 d=0.0564161 t=56430
ji tang 	雞湯	c=1 d=0.273898 t=56430
ji tian 	幾天	c=0 d=4.41647e-05 t=56430
ji tui 	雞腿	c=1 d=0.131336 t=56430
ji xian 	極限	c=1 d=0.0275983 t=56430
ji xian 	集顯	c=3 d=2.6878 t=56430
ji xu 	繼續	c=10 d=2.49552 t=56430
ji yi 	記憶	c=2 d=0.674199 t=56430
ji yu 	基於	c=4 d=0.336216 t=56430
ji zhen 	急診	c=2 d=0.00905648 t=56430
ji zhi 	機制	c=3 d=1.39236 t=56430
ji zhong 	幾種	c=2 d=0.0301974 t=56430
ji zhong 	集中	c=1 d=0.0300468 t=56430
ji zhu 	記住	c=2 d=0.787886 t=56430
ji zhua 	雞爪	c=1 d=1.41637e-07 t=56430
ji zi 	機子	c=1 d=0.985112 t=56430
ji zu 	機組	c=3 d=0.000173677 t=56430
jia 	佳	c=0 d=0.000122477 t=56430
jia 	加	c=29 d=3.15699 t=56430
jia 	夾	c=6 d=4.33613 t=56430
jia 	家	c=4 d=0.814929 t=56430
jia 	甲	c=0 d=2.9043e-15 t=56430
jia ban 	加班	c=3 d=0.0359725 t=56430
jia chang 	家常	c=1 d=0.0102549 t=56430
jia da 	加大	c=1 d=0.83527 t=56430
jia dao 	加到	c=4 d=0.543133 t=56430
jia de 	假的	c=1 d=0.216536 t=56430
jia de 	家的	c=1 d=0.215456 t=56430
jia dian 	加點	c=1 d=0.790571 t=56430
jia dian 	家電	c=1 d=0.786628 t=56430
jia ge 	價格	c=3 d=0.0254872 t=56430
jia ge 	加個	c=8 d=1.67432 t=56430
jia gou 	架構	c=12 d=1.75015 t=56430
jia hao 	加好	c=0 d=0.0218712 t=56430
jia hao 	加號	c=1 d=0.0218015 t=56430
jia hao le 	加好了	c=2 d=0.219808 t=56430
jia hao le 	加號了	c=1 d=0.218712 t=56430
jia jian cheng chu 	加減乘除	c=1 d=0.597501 t=56430
jia jin 	加進	c=1 d=1.92613e-06 t=56430
jia kuai 	加快	c=3 d=0.179066 t=56430
jia le 	加了	c=7 d=0.289725 t=56430
jia le ge 	加了閣	c=1 d=0.25284 t=56430
jia li 	家裏	c=4 d=0.909373 t=56430
jia li de 	家裏的	c=1 d=1.05124e-29 t=56430
jia mi 	加密	c=11 d=3.69343 t=56430
jia qian zhui 	加前綴	c=1 d=0.250324 t=56430
jia qiang 	加強	c=1 d=3.83023e-05 t=56430
jia ru 	假如	c=1 d=0.891366 t=56430
jia ru 	加入	c=12 d=1.70769 t=56430
jia shang 	加上	c=21 d=2.64158 t=56430
jia shang le 	加上了	c=1 d=0.506617 t=56430
jia she 	假設	c=1 d=2.85173e-05 t=56430
jia shu 	家屬	c=1 d=0.382893 t=56430
jia su 	加速	c=12 d=4.89793 t=56430
jia su qi 	加速器	c=3 d=0.0564376 t=56430
jia ting 	家庭	c=2 d=0.195589 t=56430
jia wan 	加完	c=1 d=0.718924 t=56430
jia xiang 	家鄉	c=6 d=2.92634 t=56430
jia xiao zuo 	甲硝唑	c=1 d=0.000281606 t=56430
jia yi 	加一	c=2 d=0.375311 t=56430
jia yi dian 	加一點	c=1 d=0.00241755 t=56430
jia yi dian dian 	加一點點	c=1 d=7.4107e-05 t=56430
jia zai 	加載	c=19 d=1.36417 t=56430
jia zi 	夾子	c=1 d=0.960789 t=56430
jian 	建	c=1 d=0.414783 t=56430
jian 	簡	c=0 d=2.35866e-08 t=56430
jian 	見	c=1 d=0.00324708 t=56430
jian 	鍵	c=13 d=4.74846 t=56430
jian 	間	c=5 d=0.209088 t=56430
jian bang 	肩膀	c=1 d=0.579842 t=56430
jian bi hua 	簡筆畫	c=2 d=4.96421e-07 t=56430
jian bian 	漸變	c=1 d=0.000117979 t=56430
jian bian 	簡便	c=2 d=0.486781 t=56430
jian biao 	建表	c=2 d=0.371577 t=56430
jian ce 	檢測	c=10 d=2.20765 t=56430
jian ce 	監測	c=2 d=0.00096282 t=56430
jian ce dao 	檢測到	c=1 d=0.055299 t=56430
jian cha 	檢查	c=17 d=2.99155 t=56430
jian cha guo 	檢查果	c=1 d=0.0889216 t=56430
jian cha qi 	檢查器	c=1 d=0.0117371 t=56430
jian chi xia qu 	堅持下去	c=0 d=0.013466 t=56430
jian da 	簡答	c=6 d=0.0420731 t=56430
jian dan 	簡單	c=17 d=2.27019 t=56430
jian dan de 	簡單地	c=2 d=0.131349 t=56430
jian dan dian 	簡單點	c=2 d=0.818731 t=56430
jian dan yi dian 	簡單一點	c=1 d=0.0593087 t=56430
jian ding 	鑑定	c=1 d=2.46128e-08 t=56430
jian duan 	簡短	c=5 d=1.43504 t=56430
jian fei 	減肥	c=2 d=0.548965 t=56430
jian ge 	間隔	c=28 d=5.88985 t=56430
jian ge shi jian 	間隔時間	c=1 d=0.843665 t=56430
jian gui 	見鬼	c=2 d=0.835838 t=56430
jian guo 	堅果	c=1 d=0.913949 t=56430
jian guo yun 	堅果雲	c=1 d=0.000173384 t=56430
jian hua 	簡化	c=34 d=3.97153 t=56430
jian ji 	剪輯	c=1 d=0.017163 t=56430
jian jie 	簡介	c=1 d=0.489192 t=56430
jian jie 	簡潔	c=7 d=1.66626 t=56430
jian kong 	監控	c=27 d=2.46874 t=56430
jian ku 	建庫	c=1 d=1.84708e-13 t=56430
jian kuo hao 	尖括號	c=1 d=0.873716 t=56430
jian lei xing 	鍵類型	c=1 d=1.57859e-18 t=56430
jian li 	建立	c=6 d=0.734063 t=56430
jian li 	簡歷	c=1 d=0.00260584 t=56430
jian mao 	鍵帽	c=1 d=0.000508015 t=56430
jian mian 	見面	c=1 d=1.1205e-15 t=56430
jian ming 	簡明	c=1 d=6.94669e-09 t=56430
jian mu 	建木	c=2 d=0.00327971 t=56430
jian ning 	建寧	c=2 d=0.0132336 t=56430
jian ning xian 	建寧縣	c=2 d=6.33133e-06 t=56430
jian pan 	鍵盤	c=6 d=2.54471 t=56430
jian qing 	減輕	c=1 d=5.40825e-05 t=56430
jian quan 	健全	c=1 d=4.02661e-05 t=56430
